307 3
-0.03829956 9.622299 1.4652557 
0.04788208 9.722855 1.5322876 
0.10534668 9.679764 1.5945435 
0.19154358 9.639053 1.549057 
0.19871521 9.600754 1.5514374 
0.16520691 9.560059 1.3886414 
0.16281128 9.562439 1.391037 
0.1197052 9.584 1.4293365 
0.08859253 9.605545 1.4844055 
0.02633667 9.545685 1.4245453 
-0.06942749 9.543289 1.6352386 
-0.1149292 9.540894 1.6974945 
-0.16281128 9.581604 1.7477722 
-0.18914795 9.540894 1.7477722 
-0.15562439 9.557663 1.8602905 
-0.15083313 9.591171 1.7597351 
-0.16520691 9.603149 1.8626862 
-0.10774231 9.62709 1.7884674 
-0.06942749 9.629486 1.8004456 
0.02633667 9.72525 1.7453766 
0.0909729 9.737228 1.7884674 
0.10295105 9.801865 1.7453766 
0.16520691 9.78511 1.7357941 
0.20829773 9.80426 1.7836761 
0.24659729 9.873688 1.7525635 
0.33758545 9.816238 1.8028412 
0.33998108 9.821014 1.7693176 
0.39505005 9.80426 1.7645264 
0.296875 9.787506 1.7453766 
0.30166626 9.698914 1.7525635 
0.30645752 9.718063 1.6903076 
0.30885315 9.710892 1.6376343 
0.26576233 9.7061 1.5658112 
0.22026062 9.710892 1.6160889 
0.1197052 9.674973 1.6041107 
0.10055542 9.768341 1.656784 
0.0861969 9.775528 1.7238312 
0.11730957 9.806656 1.6112976 
0.18435669 9.792282 1.7549438 
0.33998108 9.816238 1.7166443 
0.45010376 9.78511 1.7262268 
0.4740448 9.821014 1.7525635 
0.5051727 9.847351 1.8291779 
0.52194214 9.844955 1.7549438 
0.52671814 9.859329 1.7166443 
0.5027771 9.835388 1.5897522 
0.43574524 9.852142 1.5586243 
0.33758545 9.82341 1.4652557 
0.22744751 9.837784 1.4173737 
0.11730957 9.82341 1.4437103 
0.0287323 9.8688965 1.3096313 
-0.01914978 9.813843 1.312027 
-0.12689209 9.794678 1.2042847 
-0.10055542 9.746796 1.1085205 
-0.18675232 9.734833 1.0773926 
-0.22744751 9.768341 1.0055695 
-0.2346344 9.789902 0.9744415 
-0.33039856 9.806656 0.9169769 
-0.38067627 9.78511 0.9528961 
-0.40701294 9.732437 0.8882446 
-0.42616272 9.818619 0.90501404 
-0.48362732 9.840179 0.91937256 
-0.509964 9.782715 0.9289551 
-0.5410919 9.813843 1.0319061 
-0.65122986 9.849747 1.1444244 
-0.67277527 9.8688965 1.2497711 
-0.76135254 9.806656 1.2928772 
-0.8164215 9.653427 1.3479309 
-0.8523407 9.6510315 1.4029999 
-0.8882446 9.564835 1.2880859 
-0.8954315 9.497803 1.1755524 
-0.9720459 9.435547 1.1923065 
-1.154007 9.459488 1.2306213 
-1.3096313 9.459488 1.2354126 
-1.4891968 9.449921 1.2641449 
-1.6519928 9.50499 1.2425842 
-1.7046661 9.449921 1.1564026 
-1.7788849 9.414001 1.1611938 
-1.790863 9.375702 1.0319061 
-1.7549438 9.284714 1.0175323 
-1.7501678 9.241623 0.94091797 
-1.7573395 9.160217 0.8236084 
-1.8195953 9.074036 0.7039032 
-1.8267822 9.083603 0.5003967 
-1.9464874 9.002197 0.38546753 
-2.1475983 8.985443 0.3423767 
-2.331955 8.99263 0.3208313 
-2.5522156 9.047699 0.30885315 
-2.7341766 9.083603 0.20111084 
-2.9113464 9.136276 0.3040619 
-2.9903564 9.1410675 0.292099 
-3.10289 9.038116 0.24182129 
-3.1196442 8.971085 0.296875 
-3.1076813 8.959106 0.39265442 
-3.078949 8.875305 0.40222168 
-3.047821 8.870529 0.3902588 
-3.0023346 8.83461 0.4189911 
-3.0813446 8.746017 0.4980011 
-3.1842957 8.611954 0.41419983 
-3.3159637 8.5520935 0.60095215 
-3.4189148 8.576035 0.6464386 
-3.4811707 8.57843 0.7182617 
-3.6846771 8.532944 0.6272888 
-3.7900238 8.437164 0.6320648 
-3.8355103 8.382111 0.5985565 
-3.77565 8.346191 0.5913696 
-3.6200256 8.334213 0.45729065 
-3.4500427 8.291122 0.35194397 
-3.3423004 8.267181 0.21548462 
-3.509903 8.231262 0.3208313 
-3.902542 8.197754 0.30166626 
-4.261673 8.113953 0.33758545 
-4.522644 8.090012 0.15322876 
-4.6710815 8.032547 0.01675415 
-4.668686 8.125931 -0.23942566 
-4.6854553 8.137894 -0.56503296 
-4.6591187 8.293518 -0.6536102 
-4.546585 8.32225 -0.9361267 
-4.4292755 8.288727 -1.0295105 
-4.5082855 8.252823 -1.2665253 
-4.625595 8.267181 -1.3239899 
-4.649536 8.315063 -1.3982086 
-4.5992584 8.348587 -1.8195953 
-4.431671 8.367737 -1.7214355 
-4.34787 8.209717 -1.5274963 
-4.474762 8.068466 -1.1875305 
-4.718979 7.9319916 -0.9720459 
-4.929657 7.8960876 -0.82121277 
-5.070923 7.850586 -0.83317566 
-5.166687 7.735672 -0.98880005 
-5.25766 7.6590576 -1.0965424 
-5.31752 7.560898 -1.1970978 
-5.3271027 7.52977 -1.1468201 
-5.434845 7.481888 -1.0055695 
-5.580887 7.4292145 -1.0462646 
-5.645523 7.3502045 -1.0510559 
-5.693405 7.1562805 -1.0247192 
-5.6742554 6.969528 -1.0606232 
-5.6000366 6.861786 -1.0630188 
-5.7843933 6.835449 -0.92655945 
-6.011841 6.9312134 -0.8738861 
-6.2560425 7.0652924 -0.7182617 
-6.4691315 7.2400665 -0.9337311 
-6.5313873 7.378937 -0.7733307 
-6.5840607 7.27359 -0.7685394 
-6.5553284 7.110779 -0.6488342 
-6.557724 6.7540436 -0.5698242 
-6.6271515 6.438019 -0.37109375 
-6.7707977 6.2560577 -0.22984314 
-6.892914 6.0812836 -0.48362732 
-6.830658 6.1890106 -0.6464386 
-6.734894 6.380554 -0.72065735 
-6.708557 6.519409 -0.9289551 
-6.660675 6.7253113 -1.0390778 
-6.677429 6.6630707 -1.1372375 
-6.569687 6.4499817 -1.3096313 
-6.4691315 6.359009 -1.450882 
-6.3733673 6.248871 -1.529892 
-6.361389 6.2368927 -1.6376343 
-6.454773 6.1650696 -1.5131378 
-6.5529327 5.956772 -1.4915924 
-6.6750336 5.700592 -1.5155334 
-6.7157288 5.4539948 -1.335968 
-6.6319427 5.1882324 -1.4389191 
-6.5648956 5.087677 -1.1755524 
-6.519409 5.039795 -1.3766632 
-6.576874 4.924881 -1.2593536 
-6.689392 4.9296722 -1.4724274 
-6.7133484 4.881775 -1.371872 
-6.7181244 4.850662 -1.7333984 
-6.689392 4.7620697 -1.924942 
-6.655884 4.6543274 -1.8171997 
-6.7157288 4.5561676 -2.118866 
-6.9431915 4.3813934 -2.2409668 
-7.3526 4.110855 -2.1715393 
-7.6877747 3.9504395 -2.4229279 
-7.917618 3.9456482 -2.458847 
-8.192963 4.103668 -2.6934814 
-8.429977 4.218582 -2.7916412 
-8.61673 4.3430786 -2.8395233 
-8.805878 4.383789 -2.9903564 
-8.8489685 4.316757 -3.0262756 
-8.765167 4.3071747 -3.1795044 
-8.693344 4.3263245 -3.1555634 
-8.585602 4.3311157 -2.9975433 
-8.609543 4.321533 -2.937683 
-8.595184 4.2784424 -2.7222137 
-8.566452 4.24971 -2.5067291 
-8.542511 4.18985 -2.2481537 
-8.621521 4.098877 -1.9369049 
-8.576035 3.9695892 -1.8291626 
-8.315063 3.691864 -1.9105682 
-7.941574 3.2585144 -2.0685883 
-7.8601685 3.1819 -1.7190399 
-8.078033 3.0214844 -1.122879 
-8.116348 2.975998 -1.0821838 
-8.216904 2.952057 -0.96725464 
-8.2599945 3.0262756 -1.3575134 
-8.384491 3.055008 -1.3024445 
-8.520966 3.02388 -1.5394745 
-8.571243 2.8371277 -1.3144226 
-8.544907 2.7677002 -1.5993195 
-8.57843 2.5019379 -1.4293365 
-8.525757 2.324768 -1.7190399 
-8.489838 2.2098541 -1.5897522 
-8.525757 2.1475983 -1.8195953 
-8.470688 2.051834 -1.9776154 
-8.429977 1.8722687 -2.0302887 
-8.477875 1.7597351 -2.252945 
-8.710114 1.6687622 -2.367859 
-8.942337 1.6687622 -2.3128052 
-9.143463 1.652008 -2.3750458 
-9.373306 1.5849609 -2.3654633 
-9.607925 1.6017303 -2.2960358 
-9.7348175 1.5969391 -2.269699 
-9.945511 1.5227203 -2.3894196 
-10.086777 1.5011749 -2.4420776 
-10.251968 1.4963837 -2.6719208 
-10.390839 1.5203247 -2.7413635 
-10.409988 1.608902 -2.8467102 
-10.49379 1.5610199 -2.8538818 
-10.544067 1.5107422 -2.9783936 
-10.579971 1.5801697 -3.0310516 
-10.704483 1.6424255 -3.0502167 
-10.9127655 1.4221649 -3.126831 
-11.200073 0.96965027 -3.0861206 
-11.3389435 0.505188 -3.0741577 
-11.48259 0.30885315 -3.1962585 
-11.532867 0.43574524 -3.083725 
-11.633423 0.5626373 -3.205841 
-11.688492 0.90501404 -2.9903564 
-11.599915 0.92655945 -2.6647491 
-11.599915 0.7158661 -2.3295593 
-11.458649 0.46447754 -2.015915 
-11.415558 0.30166626 -1.7741089 
-11.319778 0.2753296 -1.5418701 
-11.252747 0.3136444 -1.3670807 
-11.22641 0.42138672 -1.2952576 
-11.216843 0.36871338 -1.1085205 
-11.118668 0.38546753 -0.9433136 
-11.142609 0.33758545 -0.7589569 
-11.140228 0.24900818 -0.6967163 
-11.082764 0.1723938 -0.6392517 
-11.025299 0.20350647 -0.51475525 
-10.910385 0.16041565 -0.3950348 
-10.860092 0.20350647 -0.39982605 
-10.862488 0.15802002 -0.28012085 
-10.967834 0.3040619 -0.30885315 
-11.061218 0.3423767 -0.33998108 
-11.274292 0.4118042 -0.2561798 
-11.38443 0.3902588 -0.21548462 
-11.441895 0.35913086 -0.25138855 
-11.458649 0.39505005 -0.16998291 
-11.475403 0.41659546 -0.18435669 
-11.492172 0.35194397 -0.16519165 
-11.468231 0.30885315 -0.13407898 
-11.470627 0.15562439 -0.17477417 
-11.420349 0.07661438 -0.24899292 
-11.398788 0.05986023 -0.39982605 
-11.298233 -0.007171631 -0.46687317 
-11.16655 -0.09576416 -0.5746002 
-11.027695 -0.14364624 -0.5985565 
-10.879257 -0.15802002 -0.5817871 
-10.726028 -0.10295105 -0.5482788 
-10.596741 -0.09576416 -0.40940857 
-10.4578705 -0.0047912598 -0.29447937 
-10.328583 0.08859253 -0.09576416 
-10.194504 0.16041565 0.09098816 
-10.101135 0.23223877 0.18196106 
-10.031708 0.26815796 0.33758545 
-9.931152 0.21308899 0.3902588 
