3093 3
-0.5793915 9.837784 1.0582428 
-0.5746155 9.742004 1.0486603 
-0.50038147 9.710892 0.89064026 
-0.43814087 9.581604 0.86909485 
-0.45968628 9.500198 0.6392517 
-0.43574524 9.490616 0.6488342 
-0.47644043 9.485825 0.6655884 
-0.4980011 9.493011 0.73262024 
-0.4980011 9.5169525 0.9457092 
-0.509964 9.507385 1.0103607 
-0.48841858 9.524139 1.0031738 
-0.48841858 9.48822 1.0654144 
-0.39743042 9.50499 1.0941467 
-0.43095398 9.512161 1.122879 
-0.39265442 9.538498 1.1444244 
-0.35194397 9.497803 1.3168182 
-0.36871338 9.569626 1.3503265 
-0.36871338 9.593567 1.3431549 
-0.38546753 9.66301 1.3551178 
-0.43095398 9.6510315 1.3934326 
-0.44532776 9.710892 1.2976532 
-0.4524994 9.715668 1.2761078 
-0.49560547 9.708496 1.2497711 
-0.5315094 9.684555 1.2449799 
-0.5243225 9.588776 1.2138672 
-0.52671814 9.691727 1.1444244 
-0.5243225 9.653427 1.2042847 
-0.46447754 9.66539 1.1324615 
-0.5171509 9.691727 1.122879 
-0.44532776 9.672577 1.1707611 
-0.46447754 9.674973 1.0797882 
-0.46687317  9.677368 1.1085205 
-0.50756836 9.653427 1.154007 
-0.51475525 9.667786 1.1204834 
-0.5243225 9.679764 1.2090759 
-0.53630066 9.667786 1.2641449 
-0.58657837 9.703705 1.177948 
-0.62727356 9.7061 1.233017 
-0.5913696 9.703705 1.1827393 
-0.6033325 9.715668 1.1444244 
-0.6823425 9.720459 1.019928 
-0.6775665 9.698914 0.8427582 
-0.69911194 9.727646 0.7158661 
-0.73501587 9.708496 0.5602417 
-0.72065735 9.734833 0.55784607 
-0.723053 9.701309 0.57221985 
-0.69911194 9.713287 0.5027771 
-0.64164734 9.686951 0.59376526 
-0.6799469 9.653427 0.5386963 
-0.7374115 9.631882 0.5674286 
-0.77812195 9.66301 0.7086792 
-0.74938965 9.660614 0.84036255 
-0.8164215 9.66539 0.90501404 
-0.8044586 9.749191 0.97683716 
-0.826004 9.780319 1.0534515 
-0.8379669 9.742004 1.0319061 
-0.8523407 9.751587 1.0845795 
-0.89064026 9.72525 1.0055695 
-0.8140259 9.672577 1.0366974 
-0.8236084 9.710892 1.0941467 
-0.8164215 9.727646 1.0175323 
-0.8643036 9.773132 1.074997 
-0.8427582 9.749191 0.99598694 
-0.8044586 9.797073 1.0773926 
-0.7302246 9.789902 0.95529175 
-0.6799469 9.801865 0.9433136 
-0.6967163 9.780319 0.83317566 
-0.7302246 9.773132 0.84994507 
-0.7445984 9.799469 0.74220276 
-0.83317566 9.80426 0.7733307 
-0.81881714 9.837784 0.72784424 
-0.7733307 9.801865 0.7445984 
-0.8451538 9.813843 0.6799469 
-0.8427582 9.797073 0.79008484 
-0.84036255 9.765961 0.6895294 
-0.89782715 9.722855 0.6775665 
-0.8547363 9.818619 0.52433777 
-0.83317566 9.837784 0.48602295 
-0.9145813 9.828201 0.45729065 
-0.8954315 9.80426 0.5410919 
-0.9002228 9.80426 0.5003967 
-0.83317566 9.775528 0.42855835 
-0.79966736 9.835388 0.36631775 
-0.7374115 9.861725 0.4118042 
-0.74220276 9.895233 0.30885315 
-0.7086792 9.859329 0.2561798 
-0.746994 9.90242 0.29449463 
-0.7757263 9.866516 0.3256073 
-0.8882446 9.82341 0.3256073 
