2826 3
-0.0574646 9.176987 2.5163116 
-0.03829956 9.265564 2.5234833 
-0.02154541 9.265564 2.4971466 
-0.09815979 9.349365 2.4013824 
-0.12210083 9.32782 2.3439178 
-0.15083313 9.299088 2.2433624 
-0.22505188 9.282318 2.3032227 
-0.24182129 9.303879 2.2912445 
-0.20829773 9.320633 2.3128052 
-0.12928772 9.344574 2.2146301 
-0.10534668 9.337387 2.3295593 
-0.11013794 9.303879 2.3391418 
-0.10295105 9.239227 2.3822327 
-0.11253357 9.251205 2.4133606 
-0.17956543 9.291901 2.446869 
-0.19871521 9.265564 2.427719 
-0.15562439 9.299088 2.5761566 
-0.19392395 9.34697 2.6503754 
-0.15562439 9.296692 2.54982 
-0.13887024 9.325424 2.5354614 
-0.11013794 9.3589325 2.647995 
-0.06703186 9.373306 2.6455994 
-0.08380127 9.378098 2.5953217 
-0.12928772 9.373306 2.6216583 
-0.16520691 9.368515 2.5306702 
-0.19154358 9.361328 2.4612427 
-0.1771698 9.385269 2.442093 
-0.22744751 9.370911 2.410965 
-0.16998291 9.339783 2.3822327 
-0.15802002 9.394852 2.3463135 
-0.07901001 9.320633 2.324768 
-0.05267334 9.31105 2.3367462 
-0.06703186 9.32782 2.229004 
-0.08380127 9.370911 2.229004 
-0.14125061 9.411606 2.2194214 
-0.19871521 9.421188 2.1883087 
-0.27772522 9.423584 2.3439178 
-0.28251648 9.428375 2.3104095 
-0.30166626 9.418793 2.3894196 
-0.32081604 9.411606 2.4564514 
-0.33758545 9.430771 2.4875793 
-0.34954834 9.385269 2.6240387 
-0.37348938 9.344574 2.6982727 
-0.38546753 9.351761 2.8036041 
-0.35194397 9.392456 2.9281158 
-0.45489502 9.4379425 3.031067 
-0.43095398 9.483444 3.0119019 
-0.45489502 9.557663 2.8778381 
-0.4189911 9.643845 2.937683 
-0.39265442 9.64624 2.8012238 
-0.37348938 9.615112 2.810791 
-0.39505005 9.612717 2.7700958 
-0.35913086 9.6510315 2.6695404 
-0.292099 9.615112 2.604889 
-0.23703003 9.595963 2.4516602 
-0.16520691 9.569626 2.3989868 
-0.1484375 9.593567 2.3965912 
-0.09576416 9.5169525 2.3750458 
-0.04788208 9.483444 2.3965912 
0.02633667 9.46907 2.427719 
-0.04548645 9.402039 2.5187073 
-0.06703186 9.3589325 2.5163116 
-0.04548645 9.404434 2.640808 
-0.10774231 9.373306 2.7724915 
-0.1197052 9.3589325 2.8083954 
-0.19154358 9.337387 2.9328918 
-0.21308899 9.325424 2.9328918 
-0.23223877 9.308655 2.9472656 
-0.17477417 9.296692 2.968811 
-0.18435669 9.31105 2.999939 
-0.15083313 9.363724 2.9807892 
-0.1197052 9.356552 2.8515015 
-0.04788208 9.397247 2.9640198 
-0.11013794 9.385269 2.7174225 
-0.08380127 9.385269 2.5402527 
-0.05986023 9.356552 2.4373016 
-0.03112793 9.370911 2.3918152 
-0.08380127 9.356552 2.4133606 
0.0287323 9.418793 2.3774414 
0.03591919 9.42598 2.3223724 
0.11013794 9.521744 2.2960358 
0.13168335 9.540894 2.3104095 
0.13647461 9.478653 2.3415375 
0.20350647 9.512161 2.276886 
0.18435669 9.5169525 2.2744904 
0.2346344 9.528931 2.300827 
0.32800293 9.454712 2.331955 
0.41659546 9.481049 2.4013824 
0.4980011 9.42598 2.4851837 
0.48602295 9.392456 2.442093 
0.4908142 9.318237 2.4492645 
0.50756836 9.31105 2.5163116 
0.46447754 9.294296 2.545044 
0.44532776 9.325424 2.466034 
0.38067627 9.423584 2.4636383 
0.292099 9.430771 2.276886 
0.24420166 9.536102 2.2673035 
0.21786499 9.56723 2.2170258 
0.11013794 9.603149 2.1523895 
0.14125061 9.653427 2.1356354 
0.05267334 9.617508 2.1212616 
0.04548645 9.670181 2.130844 
0.12449646 9.674973 2.1523895 
0.12449646 9.72525 2.1021118 
0.14604187 9.710892 2.2098541 
0.12449646 9.722855 2.0805664 
0.21786499 9.718063 2.1116943 
0.3256073 9.643845 2.1930847 
0.23223877 9.612717 2.082962 
0.17237854 9.555267 2.1260529 
0.18675232 9.560059 2.2242126 
0.24182129 9.579208 2.2936401 
0.24659729 9.684555 2.355896 
0.33758545 9.727646 2.2792816 
0.41419983 9.7444 2.300827 
0.40940857 9.720459 2.458847 
0.43095398 9.615112 2.5857391 
0.38786316 9.538498 2.6000977 
0.44532776 9.471466 2.573761 
0.45489502 9.485825 2.4923706 
0.48362732 9.493011 2.4229279 
0.5171509 9.375702 2.387024 
0.89064026 9.200928 2.2553406 
0.94810486 9.289505 1.9824066 
0.8044586 9.421188 1.6950989 
0.8738861 9.519348 1.7070618 
0.98402405 9.555267 1.6855164 
1.0869751 9.536102 1.687912 
1.201889 9.466675 1.5993347 
1.3335724 9.306259 1.4484863 
1.4460907 9.251205 1.4029999 
1.5466614 9.186554 1.3431549 
1.656784 9.138672 1.2282257 
1.632843 9.148254 1.0797882 
1.6232758 9.100372 1.1611938 
1.6065063 9.088394 1.2042847 
1.6424255 9.059662 1.2928772 
1.6974945 9.006989 1.3742676 
1.7310028 8.89447 1.4963837 
1.8602905 8.85376 1.5945435 
1.9057922 8.719681 1.5753784 
1.9632416 8.643066 1.6280518 
1.9656372 8.63829 1.6041107 
1.9919739 8.67659 1.5562286 
2.059021 8.669403 1.4173737 
2.1571808 8.652649 1.2665405 
2.3391418 8.611954 1.3144226 
2.5210876 8.619125 1.1731567 
2.6479797 8.549698 1.1156921 
2.8467102 8.547302 0.96725464 
2.889801 8.509003 0.9720459 
2.9855652 8.408447 0.9217682 
3.0382385 8.3940735 0.8379669 
3.10289 8.427597 0.8666992 
3.1076813 8.492233 0.8044586 
3.0813446 8.585617 0.8451538 
3.2082367 8.585617 0.87867737 
3.2776642 8.645462 0.8882446 
3.4284973 8.678986 1.0845795 
3.5218658 8.63829 1.1659698 
3.6200256 8.652649 1.1324615 
3.7182007 8.542511 1.1731567 
3.818756 8.4730835 1.1468201 
3.878601 8.422806 1.0726013 
3.9695892 8.283936 1.0247192 
4.1012726 8.192963 0.8954315 
4.0940857 8.133102 0.80685425 
4.106064 8.025375 0.7086792 
4.106064 7.9870605 0.57221985 
4.0940857 7.9032593 0.5386963 
4.2353363 7.7883453 0.3423767 
4.244919 7.673416 0.3423767 
4.2712555 7.601593 0.32800293 
4.395752 7.4938507 0.24899292 
4.42688 7.479492 0.2561798 
4.5034943 7.45076 0.20111084 
4.5513763 7.4483643 0.28251648 
4.577713 7.4842834 0.4046173 
4.668701 7.5177917 0.39505005 
4.723755 7.5632935 0.48362732 
4.8961487 7.5680695 0.53630066 
5.051773 7.60878 0.82839966 
5.240906 7.6351166 0.9098053 
5.4731445 7.536957 1.098938 
6.210556 7.625534 1.0654144 
5.9112854 7.426819 0.8930359 
6.1219788 7.3549957 1.2306213 
6.0980377 7.2759857 1.1564026 
5.55455 7.146698 1.3287811 
5.5473633 6.995865 1.0247192 
