i,j,x,y
0,0,544.096, 354.819
0,1,529.717, 336.349
0,2,519.155, 322.585
0,3,492.956, 313.23
0,4,391.938, 254.077
0,5,292.354, 196.869
0,6,214.272, 154.825
0,7,162.774, 121.752
0,8,117.225, 91.2018
0,9,87.6435, 70.032
1,0,528.49, 336.29
1,1,535.967, 336.739
1,2,532.775, 330.212
1,3,500.6, 320.179
1,4,395.052, 258.788
1,5,296.154, 208.93
1,6,222.04, 168.722
1,7,175.487, 138.569
1,8,139.317, 112.654
1,9,110.556, 89.7644
2,0,516.913, 318.361
2,1,534.434, 328.706
2,2,536.476, 328.205
2,3,491.845, 317.929
2,4,383.816, 263.521
2,5,288.819, 217.726
2,6,219.535, 181.501
2,7,178.905, 151.928
2,8,149.266, 125.777
2,9,127.323, 104.244
3,0,506.149, 306.288
3,1,528.575, 320.716
3,2,531.083, 321.444
3,3,478.729, 311.088
3,4,367.193, 258.806
3,5,271.343, 221.706
3,6,204.039, 194.158
3,7,172.506, 164.023
3,8,148.119, 139.156
3,9,128.022, 119.157
4,0,465.765, 279.988
4,1,489.318, 293.006
4,2,485.025, 293.54
4,3,424.246, 285.146
4,4,331.625, 248.523
4,5,239.392, 215.125
4,6,182.001, 195.549
4,7,158.95, 173.691
4,8,139.615, 153.36
4,9,117.229, 134.033
5,0,429.708, 271.016
5,1,447.419, 287.398
5,2,436.396, 282.623
5,3,370.179, 273.218
5,4,290.125, 245.327
5,5,211.608, 214.947
5,6,163.225, 201.939
5,7,142.701, 186.607
5,8,122.84, 172.787
5,9,101.961, 156.183
6,0,359.695, 269.761
6,1,368.872, 278.275
6,2,353.329, 267.785
6,3,297.27, 255.233
6,4,233.826, 230.529
6,5,179.125, 212.292
6,6,138.75, 207.922
6,7,118.295, 201.825
6,8,98.8639, 195.555
6,9,80.724, 187.344
7,0,285.216, 253.343
7,1,289.51, 264.085
7,2,274.847, 249.798
7,3,236.558, 237.108
7,4,193.577, 219.994
7,5,151.764, 206.677
7,6,116.576, 209.12
7,7,96.9978, 208.663
7,8,78.6791, 205.903
7,9,67.5374, 195.837
8,0,213.396, 232.502
8,1,220.247, 246.795
8,2,213.758, 234.782
8,3,197.711, 225.359
8,4,169.343, 211.996
8,5,136.101, 205.142
8,6,102.095, 211.963
8,7,82.692, 212.722
8,8,67.3245, 207.725
8,9,57.2871, 193.943
9,0,148.6, 200.474
9,1,162.277, 216.323
9,2,166.241, 208.902
9,3,159.677, 197.572
9,4,139.299, 188.555
9,5,116.934, 189.072
9,6,90.0604, 198.182
9,7,70.7572, 200.818
9,8,57.6477, 195.331
9,9,47.217, 180.081
