x,y,r,g,b
0,0,0.0098, 0.0093, 0.0188
0,1,0.0108, 0.0185, 0.0191
0,2,0.0197, 0.0082, 0.0071
0,3,0.0115, 0.0167, 0.0074
0,4,0.0097, 0.0178, 0.0018
0,5,0.0142, 0.0182, 0.0081
0,6,0.0189, 0.0094, 0.004
0,7,0.0127, 0.005, 0.0097
0,8,0.0009, 0.0024, 0.0112
0,9,0.0066, 0.0082, 0.0111
1,0,0.0172, 0.0158, 0.0182
1,1,0.0161, 0.0044, 0.0168
1,2,0.0153, 0.0042, 0.0051
1,3,0.0003, 0.0157, 0.0196
1,4,0.0077, 0.0032, 0.0175
1,5,0.0073, 0.0174, 0.0158
1,6,0.0154, 0.0141, 0.0053
1,7,0.0172, 0.0046, 0.008
1,8,0.007, 0.0055, 0.0105
1,9,0.0159, 0.0098, 0.0164
2,0,0.0049, 0.0071, 0.0123
2,1,0.0032, 0.0011, 0.0144
2,2,0.0177, 0.0164, 0.0187
2,3,0.0007, 0.0144, 0.0122
2,4,0.0004, 0.0023, 0.0155
2,5,0.0179, 0.0073, 0.0107
2,6,0.0139, 0.0005, 0.005
2,7,0.0169, 0.0177, 0.0096
2,8,0.0051, 0.0026, 0.0129
2,9,0.0133, 0.0162, 0.0005
3,0,0.0098, 0.0012, 0.0054
3,1,0.0023, 0.0021, 0.0065
3,2,0.0167, 0, 0.0007
3,3,0.0132, 0.0007, 0.0152
3,4,0.0056, 0.0187, 0.0152
3,5,0.0188, 0.0167, 0.0026
3,6,0.0073, 0.0084, 0.0031
3,7,0.0123, 0.0032, 0.001
3,8,0.0197, 0.006, 0.0013
3,9,0.0104, 0.0193, 0.0175
4,0,0.0086, 0.0092, 0.0165
4,1,0.014, 0.0092, 0.0186
4,2,0.0006, 0.0038, 0.0163
4,3,0.0014, 0.0147, 0.0147
4,4,0.0143, 0.0004, 0.0135
4,5,0.0096, 0.0169, 0.0081
4,6,0.0122, 0.0044, 0.0165
4,7,0.0153, 0.0144, 0.0174
4,8,0.014, 0.0119, 0.0035
4,9,0.0153, 0.0024, 0.0006
5,0,0.013, 0.0111, 0.0099
5,1,0.0073, 0.0052, 0.0168
5,2,0.00615174, 0.303229, 0.060534
5,3,0.000635022, 0.400435, 0.0694628
5,4,0.0147087, 0.500643, 0.0799076
5,5,0.00654778, 0.527057, 0.0801128
5,6,0.0142332, 0.50245, 0.0791469
5,7,0.00879264, 0.40936, 0.0593858
5,8,0.00644263, 0.30575, 0.0570432
5,9,0.0075, 0.0192, 0.0171
6,0,0.0082, 0.01, 0.006
6,1,0.0158, 0.0173, 0.009
6,2,0.0104708, 0.685664, 0.110984
6,3,0.00913725, 0.937191, 0.149459
6,4,0.0032966, 1.19066, 0.181527
6,5,0.0112223, 1.28876, 0.201084
6,6,0.0165929, 1.19137, 0.184521
6,7,0.00615037, 0.939272, 0.14068
6,8,0.00860958, 0.691712, 0.108099
6,9,0.0032, 0.0152, 0.0089
7,0,0.018, 0.0035, 0.0166
7,1,0.0042, 0.017, 0.0141
7,2,0.0130461, 0.868478, 0.136874
7,3,0.00459039, 1.26225, 0.193776
7,4,0.0156984, 1.71822, 0.251965
7,5,0.00771132, 1.97651, 0.290681
7,6,0.00502765, 1.70706, 0.248159
7,7,0.016467, 1.25727, 0.18382
7,8,0.00364588, 0.876965, 0.134774
7,9,0.0125, 0.0178, 0.0038
8,0,0.0191, 0.016, 0.005
8,1,0.0158, 0.0003, 0.0022
8,2,0.00807377, 0.988201, 0.150908
8,3,0.00239966, 1.49159, 0.218483
8,4,0.0125727, 2.18919, 0.330573
8,5,0.0168214, 2.99644, 0.432551
8,6,0.00719915, 2.19558, 0.319748
8,7,0.0062239, 1.49346, 0.224007
8,8,0.00663247, 0.993966, 0.146855
8,9,0.0145, 0.0102, 0.0033
9,0,0.0183, 0.0071, 0.017
9,1,0.0035, 0.0031, 0.015
9,2,0.00627581, 0.98772, 0.147932
9,3,0.0129458, 1.48869, 0.229414
9,4,0.0142296, 2.18318, 0.321951
9,5,0.0111744, 2.99638, 0.448619
9,6,0.0122048, 2.18373, 0.330673
9,7,0.0140505, 1.48792, 0.223465
9,8,0.0058254, 0.989071, 0.148742
9,9,0.0082, 0.0069, 0.0152
