i,j,x,y,z
0,0,-10.165, 0.361171, 0.123319
0,1,-9.5853, 0.921175, 0.0586913
0,2,-8.82033, 1.71856, 0.0674983
0,3,-7.75626, 2.79102, 0.128286
0,4,-3.34052, 6.68293, 0.448347
0,5,-1.89305, 7.67195, 0.710875
0,6,-0.763153, 8.17324, 0.801146
0,7,-0.281009, 8.1274, 0.833094
0,8,-0.252313, 7.58871, 0.753566
0,9,-0.145061, 6.38663, 0.626704
1,0,-9.50984, 0.960522, -0.101509
1,1,-9.16585, 1.46403, -0.0792049
1,2,-8.46955, 2.31873, -0.0157215
1,3,-7.43718, 3.39138, 0.123906
1,4,-3.42451, 7.12757, 0.45338
1,5,-1.94172, 8.11412, 0.753967
1,6,-0.795146, 8.64534, 0.853998
1,7,-0.336926, 8.67281, 0.877279
1,8,-0.238254, 8.30549, 0.806233
1,9,-0.140056, 7.44231, 0.755598
2,0,-8.65379, 1.53905, -0.181673
2,1,-8.39286, 2.26258, -0.26122
2,2,-7.87419, 3.05099, -0.0707614
2,3,-6.84733, 4.08762, 0.0917055
2,4,-3.37797, 7.28012, 0.422078
2,5,-1.93552, 8.21353, 0.737561
2,6,-0.800661, 8.73506, 0.844842
2,7,-0.386572, 8.76491, 0.871976
2,8,-0.283345, 8.44925, 0.839882
2,9,-0.202677, 7.7178, 0.797151
3,0,-7.61596, 1.88311, -0.201806
3,1,-7.48262, 2.81861, -0.274627
3,2,-7.11212, 3.655, -0.109225
3,3,-6.12989, 4.64092, 0.109667
3,4,-3.15722, 7.27062, 0.421425
3,5,-1.8034, 8.16714, 0.746707
3,6,-0.774067, 8.64505, 0.849148
3,7,-0.428061, 8.63703, 0.882178
3,8,-0.377406, 8.27536, 0.804873
3,9,-0.262078, 7.48453, 0.792734
4,0,-3.18236, 2.24203, -0.318929
4,1,-3.75109, 3.50171, -0.26195
4,2,-3.88243, 4.6307, -0.106548
4,3,-3.41843, 5.80761, 0.143629
4,4,-2.65348, 6.85902, 0.433554
4,5,-1.53823, 7.74435, 0.703069
4,6,-0.690875, 8.17908, 0.823921
4,7,-0.398568, 8.0999, 0.849978
4,8,-0.311508, 7.59979, 0.817174
4,9,-0.234751, 6.45244, 0.684482
5,0,-1.72056, 1.50001, -0.14757
5,1,-2.2177, 2.52231, -0.116196
5,2,-2.43077, 3.56131, -0.00884251
5,3,-2.27328, 4.79549, 0.169296
5,4,-1.92932, 5.76159, 0.361587
5,5,-1.22976, 6.60043, 0.603912
5,6,-0.655897, 7.11519, 0.695896
5,7,-0.403494, 6.79085, 0.714317
5,8,-0.270835, 6.06371, 0.666416
5,9,-0.192994, 4.91199, 0.546138
6,0,-0.72836, 0.734827, -0.0526206
6,1,-0.981776, 1.39104, -0.028711
6,2,-1.09396, 2.16166, 0.0502569
6,3,-1.07632, 3.23534, 0.179378
6,4,-0.949697, 4.07157, 0.325312
6,5,-0.692324, 4.75742, 0.445598
6,6,-0.445287, 5.04188, 0.52016
6,7,-0.301234, 4.76926, 0.512487
6,8,-0.183158, 4.05746, 0.452334
6,9,-0.156871, 3.104, 0.350356
7,0,0.0081, 0.0132, 0
7,1,-0.0895584, 0.249005, 0.0377965
7,2,-0.12255, 0.613936, 0.0546336
7,3,-0.170078, 1.35045, 0.130723
7,4,-0.179112, 1.90214, 0.197298
7,5,-0.185923, 2.40173, 0.268147
7,6,-0.166628, 2.54515, 0.283453
7,7,-0.142338, 2.42608, 0.287463
7,8,-0.045492, 1.96451, 0.248034
7,9,-0.0283829, 1.41012, 0.19254
8,0,0.019, 0.0089, 0.0187
8,1,0.0167, 0.0129, 0.0076
8,2,0.0114, 0.0166, 0.0008
8,3,-0.0177509, 0.287681, 0.0380138
8,4,-0.0145223, 0.373296, 0.041125
8,5,-0.0255497, 0.464326, 0.0456524
8,6,-0.0316485, 0.492109, 0.0474961
8,7,-0.0230772, 0.46366, 0.039281
8,8,-0.022392, 0.376559, 0.034503
8,9,-0.0060181, 0.28196, 0.0279295
9,0,0.0173, 0, 0.0144
9,1,0.0162, 0.0144, 0.0051
9,2,0.0016, 0.0059, 0.0194
9,3,0.0025, 0.0056, 0.0086
9,4,0.0184, 0.0177, 0.012
9,5,0.0078, 0.0022, 0.0064
9,6,0.0174, 0.0049, 0.0122
9,7,0.0039, 0.0119, 0.0059
9,8,0.0069, 0.0158, 0.0104
9,9,0.0093, 0.01, 0.0136
