i,j,x,y,z
0,0,1.67542, 0.201401, -0.00757539
0,1,3.49295, 0.52444, -0.0703622
0,2,5.53793, 0.688225, -0.0922299
0,3,7.39427, 0.678212, -0.0905053
0,4,8.07256, 0.835821, -0.0627822
0,5,8.42592, 0.90222, -0.0366762
0,6,8.50259, 1.04704, 0.0718497
0,7,8.08998, 1.02321, 0.156441
0,8,7.7355, 0.883508, 0.261493
0,9,6.85116, 0.809688, 0.284578
1,0,1.96119, 0.432837, -0.0197754
1,1,3.98128, 1.0531, -0.094612
1,2,6.04479, 1.49803, -0.114909
1,3,7.66826, 1.68915, -0.141496
1,4,8.091, 2.02643, -0.142145
1,5,8.31064, 2.10269, -0.0751213
1,6,8.33129, 2.19774, 0.0366821
1,7,7.99349, 2.14937, 0.167548
1,8,7.71205, 2.02933, 0.269897
1,9,7.00787, 2.02638, 0.263672
2,0,2.09828, 0.734129, 0.0223878
2,1,4.16157, 1.67688, -0.0562136
2,2,6.0319, 2.45866, -0.0702462
2,3,7.32458, 3.03826, -0.123274
2,4,7.67916, 3.24679, -0.117766
2,5,7.76754, 3.36463, -0.0533885
2,6,7.77608, 3.37903, 0.0533576
2,7,7.41462, 3.38369, 0.155266
2,8,7.108, 3.28216, 0.3089
2,9,6.48365, 3.26159, 0.320217
3,0,2.0027, 0.855946, 0.0369277
3,1,3.99056, 2.12682, -0.00283961
3,2,5.6184, 3.24183, 0.0285791
3,3,6.67717, 3.98543, 0.0451585
3,4,6.92339, 4.36281, 0.0377048
3,5,6.90759, 4.54134, 0.0840433
3,6,6.88103, 4.57392, 0.149617
3,7,6.37314, 4.74312, 0.237531
3,8,6.02855, 4.64234, 0.37643
3,9,5.48363, 4.60739, 0.389205
4,0,1.58191, 0.934003, 0.0474647
4,1,3.28767, 2.55852, 0.0492565
4,2,4.67323, 4.00636, 0.128022
4,3,5.59104, 4.9828, 0.159842
4,4,5.74958, 5.59029, 0.216413
4,5,5.57884, 5.93495, 0.250903
4,6,5.39321, 6.12112, 0.292696
4,7,4.67293, 6.49767, 0.379269
4,8,4.25405, 6.42496, 0.513233
4,9,3.79424, 6.22977, 0.532887
5,0,1.14558, 0.911426, 0.0569326
5,1,2.52805, 2.80725, 0.116876
5,2,3.6255, 4.58984, 0.231795
5,3,4.39491, 5.84399, 0.373612
5,4,4.51285, 6.59842, 0.377196
5,5,4.13683, 7.11959, 0.427273
5,6,3.77215, 7.42005, 0.4847
5,7,2.98798, 7.78738, 0.558119
5,8,2.5452, 7.70586, 0.645309
5,9,2.34777, 7.29685, 0.6396
6,0,0.762421, 0.68651, 0.0787094
6,1,1.80333, 2.59011, 0.177509
6,2,2.57303, 4.62615, 0.367884
6,3,2.99033, 6.24532, 0.526685
6,4,3.02044, 7.33305, 0.641387
6,5,2.67364, 7.93177, 0.687125
6,6,2.35325, 8.24458, 0.718018
6,7,1.73523, 8.55363, 0.743765
6,8,1.37317, 8.44717, 0.752051
6,9,1.25061, 7.95248, 0.654275
7,0,0.443485, 0.41895, 0.0566972
7,1,1.15019, 2.20091, 0.157474
7,2,1.66616, 4.32067, 0.360558
7,3,1.90673, 6.22364, 0.554573
7,4,1.90501, 7.58149, 0.703192
7,5,1.74255, 8.21463, 0.765242
7,6,1.50487, 8.54513, 0.809269
7,7,1.07889, 8.7557, 0.828619
7,8,0.796196, 8.58875, 0.797219
7,9,0.734424, 7.95566, 0.657976
8,0,0.18603, 0.207377, 0.0388972
8,1,0.619831, 1.65674, 0.13821
8,2,0.945116, 3.68318, 0.359808
8,3,1.07051, 5.71663, 0.579054
8,4,1.05337, 7.37726, 0.76679
8,5,0.993141, 8.15773, 0.844534
8,6,0.874385, 8.51975, 0.88012
8,7,0.71611, 8.60571, 0.804298
8,8,0.58992, 8.31315, 0.731284
8,9,0.55311, 7.51002, 0.617838
9,0,0.0095, 0.0027, 0.0062
9,1,0.175863, 1.09038, 0.0889067
9,2,0.321312, 2.80783, 0.291939
9,3,0.342824, 4.68781, 0.51578
9,4,0.356669, 6.34539, 0.747621
9,5,0.353613, 7.53574, 0.929029
9,6,0.355016, 8.03128, 0.861272
9,7,0.414072, 8.02917, 0.765888
9,8,0.452988, 7.54124, 0.638122
9,9,0.386579, 6.36921, 0.509234
