i,j,x,y,z
0,0,-1.55146, 9.14732, 0.726159
0,1,-1.49581, 9.15429, 0.821807
0,2,-1.55759, 9.07044, 0.881237
0,3,-2.00608, 8.61512, 0.888614
0,4,-8.6468, 1.23959, 0.483006
0,5,-9.14207, 0.52458, 0.417674
0,6,-9.44132, 0.162718, 0.418899
0,7,-9.24233, 0.0014553, 0.460598
0,8,-8.86082, -0.120959, 0.241087
0,9,-7.96135, -0.250145, 0.227008
1,0,-1.50126, 9.15242, 0.820077
1,1,-1.51841, 9.13082, 0.846484
1,2,-1.67854, 8.98206, 0.871525
1,3,-2.27154, 8.42054, 0.846933
1,4,-9.08534, 1.43517, 0.34562
1,5,-9.58706, 0.542145, 0.384484
1,6,-9.89194, 0.0816196, 0.423717
1,7,-9.7758, -0.0325616, 0.401812
1,8,-9.52065, -0.0845885, 0.320881
1,9,-8.89713, -0.0570098, 0.28602
2,0,-1.61191, 9.06948, 0.855073
2,1,-1.74162, 8.97213, 0.851469
2,2,-2.10966, 8.67034, 0.819095
2,3,-2.9429, 7.90474, 0.773791
2,4,-9.23671, 1.69993, 0.274248
2,5,-9.77374, 0.638336, 0.422191
2,6,-10.0903, 0.14254, 0.457542
2,7,-10.0123, 0.0183656, 0.44671
2,8,-9.79622, 0.0118436, 0.413766
2,9,-9.22181, -0.0284455, 0.371975
3,0,-2.1352, 8.74495, 0.764605
3,1,-2.47365, 8.49808, 0.728139
3,2,-3.06616, 7.99171, 0.672665
3,3,-4.05069, 7.07322, 0.606859
3,4,-9.1261, 2.08214, 0.207251
3,5,-9.69553, 0.913133, 0.436815
3,6,-10.0714, 0.344104, 0.503164
3,7,-10.0252, 0.204895, 0.526369
3,8,-9.82698, 0.150872, 0.522884
3,9,-9.3412, 0.101447, 0.450008
4,0,-5.14061, 5.96446, -0.0225201
4,1,-6.07413, 5.71938, -0.0683695
4,2,-6.95824, 4.98544, 0.0292223
4,3,-7.8403, 3.98381, 0.136076
4,4,-8.98042, 2.43211, 0.214782
4,5,-9.61354, 1.2135, 0.495929
4,6,-10.0669, 0.522251, 0.592724
4,7,-10.0735, 0.322908, 0.617239
4,8,-9.85631, 0.247441, 0.652245
4,9,-9.33965, 0.191312, 0.609023
5,0,-5.09625, 5.8545, 0.0203308
5,1,-5.93491, 5.71629, -0.0316724
5,2,-6.72592, 5.10018, 0.0746462
5,3,-7.59708, 4.15185, 0.174049
5,4,-8.73487, 2.68435, 0.281491
5,5,-9.4082, 1.50394, 0.53577
5,6,-9.94872, 0.595167, 0.636904
5,7,-9.96988, 0.308921, 0.649917
5,8,-9.72793, 0.151742, 0.643607
5,9,-9.09867, 0.130761, 0.55912
6,0,-4.86713, 5.59999, 0.088822
6,1,-5.7039, 5.57629, 0.0288528
6,2,-6.44031, 5.0808, 0.0749059
6,3,-7.23096, 4.21476, 0.197486
6,4,-8.3602, 2.80113, 0.288449
6,5,-9.10636, 1.63444, 0.572731
6,6,-9.72065, 0.688012, 0.54761
6,7,-9.76821, 0.271907, 0.57147
6,8,-9.51061, 0.0568661, 0.595083
6,9,-8.71366, -0.0399172, 0.470453
7,0,-4.44057, 5.04345, 0.154879
7,1,-5.30162, 5.20151, 0.0468351
7,2,-5.97528, 4.86228, 0.0940219
7,3,-6.66691, 4.11491, 0.226474
7,4,-7.60782, 2.78782, 0.293945
7,5,-8.47834, 1.66311, 0.55559
7,6,-9.1782, 0.685557, 0.548783
7,7,-9.20664, 0.232286, 0.457888
7,8,-8.838, -0.0187129, 0.47898
7,9,-7.92807, -0.192562, 0.442137
8,0,-3.58206, 3.91196, 0.0963267
8,1,-4.3706, 4.21508, 0.0788415
8,2,-5.10597, 4.19079, 0.176451
8,3,-5.60694, 3.6027, 0.220819
8,4,-6.31209, 2.51097, 0.263001
8,5,-7.00249, 1.53099, 0.423124
8,6,-7.57589, 0.611007, 0.43388
8,7,-7.49299, 0.242759, 0.397996
8,8,-7.08258, 0.0416553, 0.376657
8,9,-6.09397, -0.114736, 0.314025
9,0,-2.46042, 2.59804, 0.081687
9,1,-3.01435, 2.89235, 0.074737
9,2,-3.56066, 2.93271, 0.153543
9,3,-3.9543, 2.66133, 0.180349
9,4,-4.35116, 1.91904, 0.166759
9,5,-4.76944, 1.23371, 0.251977
9,6,-5.0967, 0.486558, 0.277207
9,7,-4.98403, 0.210975, 0.257381
9,8,-4.68092, 0.067876, 0.240289
9,9,-3.90169, -0.063287, 0.159755
