i,j,x,y
0,0,322.952, 215.693
0,1,326.406, 233.296
0,2,332.365, 236.205
0,3,328.838, 235.349
0,4,375.067, 363.458
0,5,440.65, 341.513
0,6,493.752, 315.856
0,7,541.246, 280.752
0,8,568.673, 262.45
0,9,582.539, 244.916
1,0,326.406, 233.296
1,1,329.674, 234.136
1,2,332.494, 236.337
1,3,328.454, 235.058
1,4,374.307, 356.94
1,5,443.251, 346.729
1,6,465.779, 337.331
1,7,526.227, 268.353
1,8,559.576, 252.555
1,9,567.098, 223.728
2,0,332.365, 236.205
2,1,332.494, 236.337
2,2,329.882, 235.528
2,3,334.251, 237.475
2,4,418.812, 343.879
2,5,453.089, 328.56
2,6,516.139, 287.103
2,7,535.036, 252.781
2,8,566.157, 228.7
2,9,554.567, 207.524
3,0,328.785, 235.479
3,1,328.165, 235.94
3,2,327.375, 242.186
3,3,333.408, 260.852
3,4,391.874, 365.762
3,5,445.343, 324.498
3,6,520.244, 273.455
3,7,556.575, 224.75
3,8,536.066, 198.655
3,9,521.263, 175.674
4,0,344.159, 415.703
4,1,340.516, 415.153
4,2,329.28, 420.089
4,3,331.874, 415.159
4,4,337.19, 400.122
4,5,376.132, 361.24
4,6,508.896, 257.465
4,7,512.365, 191.713
4,8,507.504, 154.831
4,9,472.218, 135.592
5,0,301.771, 429.819
5,1,301.717, 424.076
5,2,295.012, 417.806
5,3,275.961, 391.524
5,4,273.062, 374.945
5,5,287.529, 326.572
5,6,410.913, 239.795
5,7,435.2, 136.034
5,8,402.182, 83.9328
5,9,380.449, 67.7413
6,0,242.55, 404.367
6,1,268.482, 409.362
6,2,244.774, 395.867
6,3,206.608, 350.684
6,4,141.63, 253.167
6,5,164.624, 206.792
6,6,304.929, 112.965
6,7,341.309, 78.4944
6,8,363.993, 71.7022
6,9,373.617, 59.1733
7,0,190.049, 374.106
7,1,193.97, 359.406
7,2,175.826, 322.778
7,3,110.75, 251.468
7,4,106.071, 209.858
7,5,170.35, 155.961
7,6,248.45, 98.2959
7,7,311.894, 68.0974
7,8,337.927, 55.5771
7,9,354.644, 47.1138
8,0,163.507, 342.67
8,1,145.382, 305.152
8,2,106.548, 252.019
8,3,88.6085, 226.832
8,4,110.855, 188.492
8,5,163.518, 142.821
8,6,222.53, 87.3339
8,7,284.201, 69.0786
8,8,323.422, 53.5576
8,9,336.942, 40.3457
9,0,122.683, 308.362
9,1,97.3277, 261.392
9,2,78.8251, 235.022
9,3,76.2375, 202.737
9,4,93.9775, 181.636
9,5,136.818, 141.963
9,6,208.963, 88.836
9,7,283.488, 61.9042
9,8,327.328, 48.4683
9,9,324.556, 41.4202
