i,j,x,y
0,0,252.857, 249.798
0,1,298.041, 246.006
0,2,322.748, 230.013
0,3,326.726, 234.849
0,4,388.297, 347.835
0,5,445.63, 335.176
0,6,495.415, 312.408
0,7,539.282, 279.886
0,8,565.912, 261.25
0,9,579.48, 244.451
1,0,298.041, 246.006
1,1,312.729, 235.666
1,2,324.432, 230.364
1,3,327.194, 235.71
1,4,402.915, 339.073
1,5,447.832, 340.338
1,6,475.567, 326.473
1,7,526.517, 268.813
1,8,557.296, 251.137
1,9,565.379, 224.901
2,0,322.748, 230.013
2,1,324.432, 230.364
2,2,326.316, 233.788
2,3,328.488, 236.979
2,4,408.827, 349.665
2,5,452.492, 328.791
2,6,511.774, 287.89
2,7,533.457, 253.175
2,8,558.517, 226.547
2,9,551.923, 207.598
3,0,326.726, 234.849
3,1,327.194, 235.71
3,2,328.482, 236.983
3,3,329.109, 238.519
3,4,386.238, 364.168
3,5,443.042, 324.024
3,6,515.387, 272.894
3,7,547.914, 227.092
3,8,533.426, 198.881
3,9,520.525, 176.596
4,0,334.25, 417.713
4,1,330.762, 413.043
4,2,325.472, 415.018
4,3,327.434, 407.182
4,4,341.627, 388.052
4,5,386.436, 346.269
4,6,497.552, 256.01
4,7,508.149, 194.471
4,8,501.937, 155.954
4,9,472.03, 136.116
5,0,298.035, 426.664
5,1,297.137, 419.995
5,2,288.26, 408.91
5,3,278.283, 388.352
5,4,284.273, 359.26
5,5,345.508, 296.428
5,6,417.506, 230.311
5,7,434.294, 140.465
5,8,407.232, 91.0271
5,9,387.482, 73.3645
6,0,242.411, 402.058
6,1,261.139, 403.191
6,2,239.309, 387.025
6,3,207.275, 343.336
6,4,161.459, 254.833
6,5,194.886, 204.754
6,6,312.179, 121.674
6,7,345.864, 86.3215
6,8,365.974, 74.4479
6,9,374.201, 61.4667
7,0,191.262, 371.563
7,1,192.34, 355.867
7,2,174.58, 320.997
7,3,120.662, 256.257
7,4,118.103, 212.558
7,5,177.662, 157.536
7,6,251.497, 103.208
7,7,310.562, 72.3501
7,8,337.582, 57.9566
7,9,353.957, 48.9663
8,0,162.691, 340.417
8,1,145.392, 305.415
8,2,111.535, 257.885
8,3,95.4033, 229.646
8,4,112.418, 190.386
8,5,164.916, 145.46
8,6,223.791, 91.38
8,7,283.291, 70.397
8,8,321.98, 54.4212
8,9,336.334, 42.0988
9,0,124.421, 307.773
9,1,100.885, 264.519
9,2,84.0653, 238.446
9,3,81.6289, 206.184
9,4,102.072, 181.503
9,5,140.877, 141.889
9,6,209.498, 91.2271
9,7,279.948, 63.9934
9,8,323.206, 49.7426
9,9,324.871, 42.562
